"ticket_id","customer_id","member_id","category","priority","status","subject","created_at","first_response_at","resolved_at","satisfaction_score","escalated","tags"
15,128,1915,"billing","medium","waiting_on_customer","Need help with API authentication","2025-03-21 01:28:30","2025-03-21 19:28:30",NULL,NULL,False,"training"
16,899,NULL,"performance","medium","waiting_on_customer","SSO configuration help needed","2024-05-26 11:44:44","2024-05-26 13:44:44",NULL,NULL,False,NULL
17,222,3164,"feature_request","medium","in_progress","Export failing for large datasets","2025-08-03 09:51:49","2025-08-04 00:51:49",NULL,NULL,False,"feature , integration , ux , billing"
18,616,7839,"account","critical","resolved","Integration with Slack not working","2025-05-21 17:06:41","2025-05-21 18:46:41","2025-05-24 20:46:41",4,True,NULL
19,425,5400,"account","medium","resolved","Need to add more team members","2025-09-13 22:02:46","2025-09-16 11:02:46","2025-09-22 17:02:46",NULL,False,"feature;documentation;technical"
20,1175,NULL,"technical","critical","open","Data import from CSV failing","2023-07-10 06:50:23",NULL,NULL,NULL,False,"billing , technical , billing"
21,104,1500,"integration","high","in_progress","API rate limiting issues","2023-09-19 16:02:06","2023-09-19 22:02:06",NULL,NULL,False,"migration"
22,29,579,"integration","medium","in_progress","Cannot login to dashboard","2025-04-14 13:05:24","2025-04-15 21:05:24",NULL,NULL,False,"sso, integration, training, feature"
23,173,2548,"api","medium","in_progress","Integration with Slack not working","2024-12-18 11:43:44","2024-12-19 17:43:44",NULL,NULL,False,"api"
24,1003,NULL,"technical","high","resolved","API rate limiting issues","2025-01-04 00:55:21","2025-01-04 03:55:21","2025-01-10 01:55:21",3,False,"onboarding , export , ux , mobile"
25,815,NULL,"performance","medium","resolved","Duplicate notifications being sent","2023-07-25 12:17:02","2023-07-28 11:17:02","2023-07-29 19:17:02",NULL,False,"api, billing, feature, migration"
26,678,NULL,"technical","high","closed","Account merge request","2025-05-21 21:36:36","2025-05-22 03:36:36","2025-05-25 00:36:36",5,False,"training , technical , onboarding"
27,771,NULL,"technical","critical","closed","GDPR data export request","2024-03-02 23:05:20","2024-03-03 00:48:20","2024-03-09 09:48:20",4,True,NULL
28,360,4614,"billing","high","waiting_on_customer","Slow loading on project boards","2025-03-20 18:30:54","2025-03-20 22:30:54",NULL,NULL,False,"onboarding;security;billing"
29,141,2092,"billing","medium","in_progress","SSO configuration help needed","2025-07-25 17:40:39","2025-07-27 20:40:39",NULL,NULL,False,NULL
30,215,3114,"integration","low","waiting_on_customer","Report generation timeout","2025-01-26 07:19:45","2025-01-27 17:19:45",NULL,NULL,False,"sso"
31,1089,NULL,"account","high","resolved","Feature request: dark mode","2025-01-28 07:21:59","2025-01-28 18:21:59","2025-02-01 15:21:59",5,False,"sso;enterprise;migration;integration"
32,649,8412,"performance","high","resolved","Report generation timeout","2024-04-12 13:02:43","2024-04-12 18:02:43","2024-04-16 21:02:43",3,False,"feature, mobile, training"
33,603,7741,"api","medium","waiting_on_customer","Cannot login to dashboard","2025-05-14 23:42:39","2025-05-15 09:42:39",NULL,NULL,False,NULL
34,463,6012,"billing","critical","closed","Duplicate notifications being sent","2025-10-07 17:34:26","2025-10-07 19:05:26","2025-10-10 00:05:26",5,False,"ux, enterprise"
35,1179,NULL,"api","low","resolved","Data import from CSV failing","2025-10-02 05:14:31","2025-10-02 21:14:31","2025-10-06 04:14:31",NULL,False,"sso , mobile , integration , technical"
36,933,NULL,"security","low","in_progress","Webhook delivery failures","2025-06-25 20:01:22","2025-06-26 03:01:22",NULL,NULL,False,"training"
37,620,7878,"performance","critical","resolved","Billing discrepancy on latest invoice","2025-05-27 10:31:43","2025-05-27 11:56:43","2025-05-31 07:56:43",NULL,True,"gdpr"
38,93,1419,"feature_request","medium","resolved","Data import from CSV failing","2024-08-08 01:49:27","2024-08-09 07:49:27","2024-08-12 10:49:27",4,False,"api"
39,45,770,"data_export","low","waiting_on_customer","Audit log access denied","2024-10-03 10:42:03","2024-10-06 09:42:03",NULL,NULL,False,NULL
40,319,4152,"onboarding","high","closed","Report generation timeout","2025-01-17 16:38:42","2025-01-17 17:38:42","2025-01-20 17:38:42",NULL,True,"export , bug , enterprise , api"
41,62,1026,"billing","low","waiting_on_customer","White label logo not displaying","2025-09-03 13:03:49","2025-09-05 06:03:49",NULL,NULL,False,"security , billing , training , urgent , security"
42,210,3030,"technical","low","waiting_on_customer","Duplicate notifications being sent","2025-08-07 19:56:53","2025-08-10 13:56:53",NULL,NULL,False,"performance, enterprise, mobile, migration"
43,1089,NULL,"security","low","open","Integration with Slack not working","2024-10-05 04:08:51",NULL,NULL,NULL,False,"urgent,migration,enterprise,billing"
44,980,NULL,"technical","critical","resolved","Account merge request","2025-07-17 16:42:24","2025-07-17 18:19:24","2025-07-18 11:19:24",NULL,True,"migration,ux,bug"
45,106,1552,"integration","high","resolved","Mobile app crashes on Android","2024-12-04 19:56:50","2024-12-04 21:56:50","2024-12-09 15:56:50",4,False,"gdpr , training , export , ux"
46,289,3931,"feature_request","medium","in_progress","Export failing for large datasets","2025-04-28 17:37:48","2025-04-29 07:37:48",NULL,NULL,False,"integration"
47,55,912,"technical","high","in_progress","Report generation timeout","2025-01-08 08:12:04","2025-01-08 15:12:04",NULL,NULL,False,"urgent, gdpr, security"
48,1013,NULL,"technical","critical","in_progress","Mobile app crashes on Android","2024-05-20 05:55:14","2024-05-20 06:57:14",NULL,NULL,False,"export , enterprise , ux , api"
49,555,7099,"performance","medium","in_progress","Feature request: dark mode","2025-01-15 20:09:57","2025-01-17 22:09:57",NULL,NULL,False,"performance"
50,203,2887,"performance","low","open","Mobile app crashes on Android","2025-10-24 04:49:28",NULL,NULL,NULL,False,NULL
51,1051,NULL,"security","medium","closed","Account merge request","2024-12-11 16:16:50","2024-12-12 19:16:50","2024-12-13 05:16:50",4,False,NULL
52,544,6919,"performance","high","closed","Cannot downgrade plan","2025-04-08 03:51:53","2025-04-08 11:51:53","2025-04-11 06:51:53",3,False,"billing;export"
53,381,4837,"onboarding","high","resolved","Data import from CSV failing","2025-07-01 07:12:26","2025-07-01 15:12:26","2025-07-07 16:12:26",1,False,"migration;urgent"
54,3,29,"billing","critical","waiting_on_customer","Webhook delivery failures","2023-11-18 15:01:56","2023-11-18 15:34:56",NULL,NULL,False,NULL
55,843,NULL,"feature_request","low","in_progress","Billing discrepancy on latest invoice","2024-06-26 07:45:13","2024-06-29 07:45:13",NULL,NULL,False,NULL
56,401,5105,"onboarding","medium","waiting_on_customer","Duplicate notifications being sent","2025-09-07 05:50:36","2025-09-09 22:50:36",NULL,NULL,False,"api;bug;enterprise;billing"
57,1017,NULL,"integration","medium","closed","GDPR data export request","2025-01-22 22:51:43","2025-01-23 22:51:43","2025-01-27 03:51:43",NULL,False,"documentation, ux, api"
58,8,111,"onboarding","low","closed","Duplicate notifications being sent","2024-06-15 00:57:58","2024-06-17 13:57:58","2024-06-22 09:57:58",5,False,"urgent,api"
59,545,6930,"api","low","in_progress","SSO configuration help needed","2025-04-21 10:59:29","2025-04-24 03:59:29",NULL,NULL,False,"ux , onboarding , performance"
60,83,1291,"data_export","low","resolved","White label logo not displaying","2024-06-21 06:58:22","2024-06-24 04:58:22","2024-06-30 06:58:22",3,False,"training"
61,769,NULL,"api","medium","in_progress","Mobile app crashes on Android","2024-12-14 06:06:54","2024-12-14 14:06:54",NULL,NULL,False,"onboarding,ux,gdpr"
62,440,5607,"billing","high","open","Cannot login to dashboard","2024-03-10 18:44:36",NULL,NULL,NULL,False,NULL
63,739,NULL,"api","low","resolved","Slow loading on project boards","2024-10-09 15:29:46","2024-10-10 10:29:46","2024-10-14 11:29:46",4,False,"security, api, documentation"
64,982,NULL,"billing","high","in_progress","Billing discrepancy on latest invoice","2024-09-29 01:14:30","2024-09-29 12:14:30",NULL,NULL,False,"sso,feature,ux,migration"
65,475,6075,"technical","medium","resolved","Webhook delivery failures","2025-07-27 18:12:56","2025-07-28 17:12:56","2025-08-04 13:12:56",4,False,NULL
66,645,8357,"security","high","resolved","Audit log access denied","2025-10-27 08:56:04","2025-10-27 14:56:04","2025-10-29 00:56:04",5,True,"urgent"
67,167,2455,"performance","medium","open","Billing discrepancy on latest invoice","2025-10-09 12:37:38",NULL,NULL,NULL,False,NULL
68,654,8429,"account","medium","waiting_on_customer","Permission settings not saving","2025-04-02 19:02:50","2025-04-04 23:02:50",NULL,NULL,False,"billing;documentation;sso"
69,947,NULL,"data_export","medium","waiting_on_customer","Duplicate notifications being sent","2024-04-17 06:42:01","2024-04-19 07:42:01",NULL,NULL,False,"technical,documentation,billing,technical"
70,512,6504,"data_export","high","waiting_on_customer","Data import from CSV failing","2024-02-11 13:30:43","2024-02-11 22:30:43",NULL,NULL,False,"documentation,export,sso,technical"
71,729,NULL,"billing","low","closed","Cannot login to dashboard","2025-10-04 00:22:17","2025-10-05 12:22:17","2025-10-09 17:22:17",3,False,"bug , api , migration"
72,266,3703,"api","medium","resolved","Custom workflow automation broken","2024-08-29 21:37:52","2024-09-01 20:37:52","2024-09-08 09:37:52",4,False,"onboarding , documentation , performance"
73,168,2463,"integration","medium","resolved","White label logo not displaying","2025-06-19 20:36:40","2025-06-22 09:36:40","2025-06-26 10:36:40",4,False,"technical"
74,167,2457,"feature_request","high","in_progress","Audit log access denied","2025-08-19 04:51:58","2025-08-19 14:51:58",NULL,NULL,False,"performance"
75,253,3539,"account","medium","open","SSO configuration help needed","2025-04-06 09:28:02",NULL,NULL,NULL,False,"billing"
76,836,NULL,"integration","medium","open","Data import from CSV failing","2025-10-01 11:54:36",NULL,NULL,NULL,False,"performance , migration , enterprise"
77,925,NULL,"billing","low","in_progress","Cannot login to dashboard","2025-05-26 21:09:23","2025-05-27 11:09:23",NULL,NULL,False,NULL
78,1,1,"onboarding","low","resolved","Time tracking sync issues","2024-11-28 09:13:22","2024-11-30 21:13:22","2024-12-01 01:13:22",2,False,"technical, training"
79,720,NULL,"feature_request","low","closed","SSO configuration help needed","2025-07-09 05:43:06","2025-07-10 10:43:06","2025-07-13 00:43:06",1,False,"sso, mobile, billing, migration"
80,258,3581,"performance","high","in_progress","Billing discrepancy on latest invoice","2024-04-10 21:58:42","2024-04-10 23:58:42",NULL,NULL,False,"training;feature;mobile;training"
81,412,5204,"api","critical","open","Billing discrepancy on latest invoice","2025-10-13 09:11:22",NULL,NULL,NULL,False,"security"
82,1081,NULL,"billing","medium","resolved","GDPR data export request","2025-10-29 18:40:17","2025-10-31 15:40:17","2025-11-02 06:40:17",3,False,"api;billing;enterprise"
83,917,NULL,"technical","medium","waiting_on_customer","Account merge request","2024-11-04 03:41:00","2024-11-06 07:41:00",NULL,NULL,False,NULL
84,323,4182,"integration","low","closed","White label logo not displaying","2024-10-04 04:09:12","2024-10-06 22:09:12","2024-10-08 10:09:12",2,False,NULL
85,330,4218,"feature_request","low","in_progress","Data import from CSV failing","2025-10-30 07:21:07","2025-10-31 13:21:07",NULL,NULL,False,NULL
86,882,NULL,"api","critical","open","Duplicate notifications being sent","2025-02-13 18:00:25",NULL,NULL,NULL,False,"bug, performance"
87,1003,NULL,"api","medium","open","Custom workflow automation broken","2025-05-04 18:51:25",NULL,NULL,NULL,False,"sso, security"
88,408,5175,"account","low","in_progress","Gantt chart not rendering correctly","2025-08-27 02:25:20","2025-08-27 09:25:20",NULL,NULL,False,"integration,mobile,feature,performance"
89,209,3004,"feature_request","low","open","Permission settings not saving","2025-04-14 14:14:42",NULL,NULL,NULL,False,"onboarding,technical,integration,export"
90,1100,NULL,"technical","medium","waiting_on_customer","Custom workflow automation broken","2024-05-27 21:33:36","2024-05-29 06:33:36",NULL,NULL,False,"technical,urgent"
91,160,2339,"integration","high","in_progress","API rate limiting issues","2025-02-22 12:23:54","2025-02-22 22:23:54",NULL,NULL,False,"billing"
92,1072,NULL,"security","medium","resolved","Permission settings not saving","2025-03-17 10:03:03","2025-03-19 14:03:03","2025-03-19 17:03:03",2,False,"mobile, ux, urgent, integration"
93,392,4947,"security","high","waiting_on_customer","Feature request: dark mode","2024-01-08 05:35:42","2024-01-08 17:35:42",NULL,NULL,False,NULL
94,840,NULL,"technical","high","open","Integration with Slack not working","2025-07-06 14:50:59",NULL,NULL,NULL,False,"migration , mobile"
95,518,6596,"integration","medium","resolved","Feature request: dark mode","2023-05-12 00:38:52","2023-05-13 02:38:52","2023-05-14 16:38:52",5,False,"billing"
96,1197,NULL,"security","low","resolved","Duplicate notifications being sent","2024-06-19 03:11:07","2024-06-19 18:11:07","2024-06-25 16:11:07",4,False,"feature,onboarding"
97,310,4103,"data_export","medium","resolved","Audit log access denied","2024-11-04 19:08:16","2024-11-07 04:08:16","2024-11-11 13:08:16",NULL,False,NULL
98,784,NULL,"data_export","medium","waiting_on_customer","SSO configuration help needed","2023-11-11 10:18:29","2023-11-13 10:18:29",NULL,NULL,False,"technical"
99,722,NULL,"feature_request","low","closed","Custom workflow automation broken","2024-12-25 14:29:00","2024-12-28 09:29:00","2024-12-29 01:29:00",4,False,"technical"
100,304,4046,"performance","low","open","Report generation timeout","2023-11-26 18:30:46",NULL,NULL,NULL,False,"sso, billing, gdpr"
101,644,8334,"billing","low","resolved","Need to add more team members","2025-02-25 14:46:34","2025-02-28 09:46:34","2025-02-28 18:46:34",3,False,"documentation,onboarding,security,performance"
102,17,367,"data_export","high","closed","GDPR data export request","2025-06-10 20:10:18","2025-06-11 00:10:18","2025-06-12 09:10:18",4,False,"urgent"
103,598,7721,"data_export","high","resolved","Cannot login to dashboard","2025-10-20 09:52:58","2025-10-20 18:52:58","2025-10-25 06:52:58",5,False,"gdpr, onboarding, training, bug"
104,412,5206,"performance","low","in_progress","API rate limiting issues","2025-10-21 04:05:58","2025-10-23 15:05:58",NULL,NULL,False,"technical,migration,api,bug"
105,539,6851,"billing","high","waiting_on_customer","Audit log access denied","2024-10-23 02:25:44","2024-10-23 05:25:44",NULL,NULL,True,NULL
106,775,NULL,"integration","medium","waiting_on_customer","Need to add more team members","2023-12-31 15:34:56","2024-01-03 03:34:56",NULL,NULL,False,"training,technical"
107,1081,NULL,"account","medium","waiting_on_customer","API rate limiting issues","2024-05-06 07:07:37","2024-05-07 08:07:37",NULL,NULL,False,"enterprise, integration, performance, api"
108,751,NULL,"api","medium","in_progress","Account merge request","2024-09-10 22:35:09","2024-09-13 02:35:09",NULL,NULL,False,"security, urgent, migration, ux, security"
109,1036,NULL,"integration","medium","resolved","Gantt chart not rendering correctly","2025-07-28 23:02:12","2025-07-31 23:02:12","2025-08-03 09:02:12",3,False,"ux,sso,billing"
110,538,6841,"api","medium","waiting_on_customer","Gantt chart not rendering correctly","2023-08-12 12:47:12","2023-08-12 14:47:12",NULL,NULL,False,"technical"
111,545,6931,"security","low","resolved","Slow loading on project boards","2024-02-17 05:55:33","2024-02-18 16:55:33","2024-02-21 12:55:33",1,False,"security,migration,performance"
112,424,5386,"performance","low","in_progress","Account merge request","2024-03-05 05:48:51","2024-03-07 13:48:51",NULL,NULL,False,"feature, training, feature"
113,378,4814,"account","low","open","GDPR data export request","2025-07-07 13:12:33",NULL,NULL,NULL,False,"migration , security , technical"
114,423,5370,"technical","medium","open","Cannot login to dashboard","2023-12-10 11:29:59",NULL,NULL,NULL,False,"technical,security,gdpr,migration"
115,865,NULL,"technical","medium","waiting_on_customer","Time tracking sync issues","2025-09-21 00:12:54","2025-09-23 07:12:54",NULL,NULL,False,"ux"
116,919,NULL,"integration","medium","in_progress","Gantt chart not rendering correctly","2023-12-09 11:42:32","2023-12-10 12:42:32",NULL,NULL,False,NULL
117,974,NULL,"performance","critical","waiting_on_customer","Report generation timeout","2024-09-15 09:56:24","2024-09-15 11:24:24",NULL,NULL,False,"security, export, urgent"
118,1012,NULL,"onboarding","low","in_progress","Data import from CSV failing","2023-08-18 10:41:00","2023-08-21 08:41:00",NULL,NULL,False,NULL
119,455,5829,"onboarding","low","waiting_on_customer","SSO configuration help needed","2025-10-11 08:22:33","2025-10-13 03:22:33",NULL,NULL,False,"billing;migration"
120,49,805,"billing","low","waiting_on_customer","Slow loading on project boards","2025-02-08 02:52:21","2025-02-08 15:52:21",NULL,NULL,False,NULL
121,939,NULL,"integration","low","resolved","Report generation timeout","2025-06-02 14:35:46","2025-06-04 07:35:46","2025-06-09 12:35:46",5,False,NULL
122,104,1522,"account","high","waiting_on_customer","Account merge request","2025-01-23 17:40:08","2025-01-24 02:40:08",NULL,NULL,True,"urgent , export , integration , feature"
123,543,6907,"feature_request","low","resolved","Gantt chart not rendering correctly","2025-07-04 19:22:25","2025-07-05 11:22:25","2025-07-12 10:22:25",5,False,"urgent;api;export;bug"
124,707,NULL,"account","low","closed","Account merge request","2023-05-11 23:58:58","2023-05-14 07:58:58","2023-05-15 13:58:58",NULL,False,NULL
125,953,NULL,"api","low","open","API rate limiting issues","2024-05-22 11:16:55",NULL,NULL,NULL,False,"onboarding, feature, urgent, api"
126,118,1692,"data_export","medium","open","Mobile app crashes on Android","2025-01-09 06:42:07",NULL,NULL,NULL,False,"onboarding"
127,208,2973,"technical","medium","in_progress","GDPR data export request","2025-08-19 13:46:06","2025-08-22 10:46:06",NULL,NULL,False,NULL
128,1021,NULL,"feature_request","critical","open","GDPR data export request","2023-10-11 02:26:00",NULL,NULL,NULL,True,NULL
129,397,5061,"security","high","open","Duplicate notifications being sent","2025-05-29 03:35:36",NULL,NULL,NULL,False,"export , performance , enterprise , bug"
130,368,4711,"account","high","closed","Gantt chart not rendering correctly","2024-10-12 22:41:41","2024-10-13 10:41:41","2024-10-16 14:41:41",NULL,False,"bug"
131,777,NULL,"api","low","waiting_on_customer","API rate limiting issues","2025-02-11 16:48:43","2025-02-14 05:48:43",NULL,NULL,False,"feature, mobile"
132,270,3749,"api","low","closed","White label logo not displaying","2024-01-11 16:32:23","2024-01-13 20:32:23","2024-01-18 18:32:23",4,False,NULL
133,734,NULL,"account","critical","closed","Billing discrepancy on latest invoice","2023-10-29 07:40:36","2023-10-29 09:04:36","2023-10-30 11:04:36",2,False,"feature,performance"
134,728,NULL,"account","critical","closed","GDPR data export request","2025-08-14 14:27:07","2025-08-14 15:54:07","2025-08-14 23:54:07",NULL,False,NULL
135,1130,NULL,"feature_request","medium","in_progress","Report generation timeout","2025-05-29 19:58:56","2025-05-31 07:58:56",NULL,NULL,False,NULL
136,685,NULL,"billing","low","resolved","Custom workflow automation broken","2024-11-15 04:35:52","2024-11-17 02:35:52","2024-11-18 19:35:52",3,False,"performance"
137,326,4193,"account","low","waiting_on_customer","Slow loading on project boards","2025-10-16 14:29:02","2025-10-18 08:29:02",NULL,NULL,False,"export,security"
138,69,1079,"billing","low","open","Mobile app crashes on Android","2025-01-10 10:16:27",NULL,NULL,NULL,False,NULL
139,309,4100,"data_export","critical","waiting_on_customer","Billing discrepancy on latest invoice","2024-10-17 07:00:50","2024-10-17 08:14:50",NULL,NULL,False,"gdpr"
140,976,NULL,"technical","medium","resolved","Slow loading on project boards","2025-01-31 04:52:15","2025-02-02 00:52:15","2025-02-05 19:52:15",2,False,"integration, integration"
141,645,8360,"performance","low","closed","Gantt chart not rendering correctly","2025-06-28 23:51:43","2025-07-01 10:51:43","2025-07-02 11:51:43",5,False,"documentation,documentation"
142,978,NULL,"performance","medium","resolved","Cannot login to dashboard","2024-07-29 02:27:39","2024-08-01 01:27:39","2024-08-05 10:27:39",NULL,False,"migration , performance , billing , enterprise"
143,1084,NULL,"api","medium","resolved","Need help with API authentication","2025-08-06 21:40:31","2025-08-08 23:40:31","2025-08-09 21:40:31",3,False,"export , onboarding , billing , mobile"
144,1049,NULL,"account","medium","closed","SSO configuration help needed","2025-06-19 07:10:27","2025-06-22 03:10:27","2025-06-25 08:10:27",5,False,"urgent"
145,152,2189,"feature_request","low","in_progress","Need to add more team members","2025-10-06 03:56:05","2025-10-06 23:56:05",NULL,NULL,False,"ux,bug"
146,940,NULL,"billing","low","open","GDPR data export request","2023-08-24 12:35:52",NULL,NULL,NULL,False,"mobile , security , export , mobile"
147,726,NULL,"account","low","open","Cannot downgrade plan","2025-06-07 13:27:13",NULL,NULL,NULL,False,"api;feature;mobile"
148,963,NULL,"api","high","open","White label logo not displaying","2025-08-16 14:26:58",NULL,NULL,NULL,False,NULL
149,690,NULL,"technical","medium","in_progress","GDPR data export request","2024-08-07 16:22:05","2024-08-09 07:22:05",NULL,NULL,False,"ux;export;billing;performance"
150,795,NULL,"data_export","critical","open","Data import from CSV failing","2023-03-06 07:22:38",NULL,NULL,NULL,False,"ux , performance , integration"
151,1002,NULL,"technical","medium","open","Time tracking sync issues","2025-03-02 00:52:29",NULL,NULL,NULL,False,"feature,security,onboarding,ux,feature"
152,882,NULL,"onboarding","low","in_progress","Time tracking sync issues","2025-01-03 18:47:48","2025-01-06 06:47:48",NULL,NULL,False,"feature , gdpr , training , documentation"
153,276,3804,"technical","medium","resolved","Account merge request","2024-06-28 20:40:42","2024-07-01 00:40:42","2024-07-06 15:40:42",NULL,False,"export"
154,207,2939,"onboarding","medium","open","Mobile app crashes on Android","2024-11-19 15:34:29",NULL,NULL,NULL,False,NULL
155,147,2147,"account","medium","resolved","Cannot downgrade plan","2024-03-08 09:16:55","2024-03-08 17:16:55","2024-03-10 16:16:55",3,False,"sso , integration"
156,1161,NULL,"feature_request","high","in_progress","Time tracking sync issues","2024-12-21 13:43:40","2024-12-21 22:43:40",NULL,NULL,False,"onboarding;sso;training"
157,1158,NULL,"account","low","waiting_on_customer","Mobile app crashes on Android","2025-08-19 16:15:51","2025-08-20 13:15:51",NULL,NULL,False,"training , technical"
158,489,6230,"billing","critical","in_progress","Audit log access denied","2025-10-17 10:56:28","2025-10-17 11:55:28",NULL,NULL,False,"integration, enterprise, api"
159,864,NULL,"integration","low","in_progress","Permission settings not saving","2025-07-17 21:43:31","2025-07-19 17:43:31",NULL,NULL,False,"enterprise"
160,908,NULL,"integration","low","open","Custom workflow automation broken","2024-09-30 00:18:40",NULL,NULL,NULL,False,"migration;bug;training"
161,214,3100,"technical","critical","closed","API rate limiting issues","2024-01-16 04:39:32","2024-01-16 06:37:32","2024-01-20 14:37:32",3,False,"api, bug"
162,611,7812,"account","medium","in_progress","API rate limiting issues","2025-08-09 23:04:03","2025-08-10 23:04:03",NULL,NULL,False,"ux;integration;ux"
163,403,5141,"security","low","in_progress","Feature request: dark mode","2025-06-30 06:55:47","2025-07-02 13:55:47",NULL,NULL,False,"onboarding"
164,742,NULL,"account","medium","open","Export failing for large datasets","2024-09-15 10:25:24",NULL,NULL,NULL,False,"mobile;performance"
165,378,4814,"account","medium","waiting_on_customer","Integration with Slack not working","2025-10-25 05:30:42","2025-10-27 06:30:42",NULL,NULL,False,"technical;onboarding;training;sso"
166,234,3308,"billing","low","closed","Permission settings not saving","2025-04-12 00:31:04","2025-04-14 09:31:04","2025-04-18 09:31:04",NULL,False,NULL
167,89,1363,"security","low","resolved","Cannot downgrade plan","2025-10-19 07:41:00","2025-10-20 13:41:00","2025-10-26 02:41:00",2,False,"integration, technical, training"
168,1118,NULL,"api","medium","open","Report generation timeout","2025-07-23 03:23:58",NULL,NULL,NULL,False,NULL
169,200,2876,"api","low","resolved","White label logo not displaying","2024-10-18 04:40:36","2024-10-18 11:40:36","2024-10-21 15:40:36",5,False,NULL
170,1046,NULL,"performance","low","in_progress","Permission settings not saving","2025-09-05 22:33:58","2025-09-08 16:33:58",NULL,NULL,False,"gdpr"
171,119,1702,"feature_request","medium","resolved","Time tracking sync issues","2023-12-20 02:36:43","2023-12-21 11:36:43","2023-12-24 13:36:43",5,False,"training;enterprise"
172,337,4307,"security","high","in_progress","Cannot downgrade plan","2025-10-24 09:21:11","2025-10-24 16:21:11",NULL,NULL,False,"training, feature, migration"
173,423,5352,"data_export","high","in_progress","Export failing for large datasets","2024-02-27 22:36:07","2024-02-28 03:36:07",NULL,NULL,False,"documentation, training, performance"
174,419,5321,"security","medium","waiting_on_customer","Need help with API authentication","2025-08-14 08:13:24","2025-08-14 20:13:24",NULL,NULL,False,"migration,onboarding,technical"
175,930,NULL,"data_export","low","resolved","SSO configuration help needed","2025-10-26 14:24:24","2025-10-28 09:24:24","2025-10-28 11:24:24",2,False,"training"
176,809,NULL,"technical","high","closed","API rate limiting issues","2025-10-03 02:28:04","2025-10-03 08:28:04","2025-10-09 17:28:04",3,False,"security,export"
177,586,7571,"onboarding","low","waiting_on_customer","Audit log access denied","2024-12-12 23:43:37","2024-12-13 20:43:37",NULL,NULL,False,"technical, export, api, performance, technical"
178,749,NULL,"account","low","resolved","GDPR data export request","2025-10-29 17:48:25","2025-10-30 18:48:25","2025-11-02 08:48:25",3,False,"mobile,training"
179,485,6156,"onboarding","high","closed","White label logo not displaying","2025-04-12 05:02:02","2025-04-12 08:02:02","2025-04-17 14:02:02",NULL,False,"integration"
180,20,400,"api","medium","in_progress","Custom workflow automation broken","2025-07-23 21:02:37","2025-07-25 00:02:37",NULL,NULL,False,"urgent"
181,148,2148,"billing","medium","resolved","Data import from CSV failing","2025-04-02 19:29:02","2025-04-03 10:29:02","2025-04-05 20:29:02",4,False,"onboarding , gdpr , billing , onboarding"
182,150,2157,"onboarding","low","in_progress","Data import from CSV failing","2025-10-07 21:10:44","2025-10-08 20:10:44",NULL,NULL,False,"export , integration"
183,103,1489,"integration","high","waiting_on_customer","Gantt chart not rendering correctly","2023-09-05 15:04:00","2023-09-06 00:04:00",NULL,NULL,False,"integration , bug , export"
184,800,NULL,"security","low","closed","Report generation timeout","2025-05-29 04:48:57","2025-05-29 12:48:57","2025-06-03 22:48:57",NULL,False,"security, export, technical, training"
