"customer_id","company_name","industry","company_size","country_code","timezone","subscription_id","subscription_status","plan_id","mrr_usd","start_date","end_date","billing_cycle","cancellation_reason","plan_name","plan_tier","monthly_price_usd"
34,"JadeHQ","Legal","enterprise","CA","America/Toronto",50,"cancelled",3,19.00,"2024-06-17","2025-02-04","monthly","Missing features","Starter Plus","starter",19.00
34,"JadeHQ","Legal","enterprise","CA","America/Toronto",51,"active",4,33.15,"2025-02-04",NULL,"monthly",NULL,"Professional","professional",39.00
35,"PulseAnalytics","Telecommunications","medium","US","America/Chicago",52,"active",2,10.00,"2024-02-22",NULL,"annual",NULL,"Starter","starter",12.00
36,"YieldHub","Legal","small","BR","America/Sao_Paulo",53,"active",5,59.00,"2025-09-03",NULL,"monthly",NULL,"Professional Plus","professional",59.00
37,"Flux Labs","Manufacturing","small","SG","Asia/Singapore",54,"cancelled",3,15.83,"2025-10-01","2025-12-01","annual","Switched competitor","Starter Plus","starter",19.00
37,"Flux Labs","Manufacturing","small","SG","Asia/Singapore",55,"active",4,39.00,"2025-12-01",NULL,"monthly",NULL,"Professional","professional",39.00
38,"FlowStack","Retail","medium","US","America/Los_Angeles",56,"expired",2,12.00,"2025-06-19","2025-09-16","monthly","Company reorganization","Starter","starter",12.00
38,"FlowStack","Retail","medium","US","America/Los_Angeles",57,"active",6,82.50,"2025-09-16",NULL,"annual",NULL,"Enterprise","enterprise",99.00
39,"QuarkTech","Legal","medium","US","America/New_York",58,"active",1,0.00,"2025-08-30",NULL,"monthly",NULL,"Free","free",0.00
40,"PulseDigital","Healthcare","medium","GB","Europe/London",59,"active",2,10.00,"2025-02-04",NULL,"annual",NULL,"Starter","starter",12.00
41,"TidalSystems","Telecommunications","small","BR","America/Sao_Paulo",60,"active",2,12.00,"2025-04-30",NULL,"monthly",NULL,"Starter","starter",12.00
42,"KeenAI","Manufacturing","large","IN","Asia/Kolkata",61,"active",5,49.17,"2025-09-10",NULL,"annual",NULL,"Professional Plus","professional",59.00
43,"TrekDigital","Legal","medium","SG","Asia/Singapore",62,"cancelled",5,49.17,"2025-04-25","2025-07-29","annual","Company reorganization","Professional Plus","professional",59.00
43,"TrekDigital","Legal","medium","SG","Asia/Singapore",63,"expired",4,33.15,"2025-07-29","2025-10-28","monthly","Missing features","Professional","professional",39.00
43,"TrekDigital","Legal","medium","SG","Asia/Singapore",64,"active",1,0.00,"2025-10-28",NULL,"monthly",NULL,"Free","free",0.00
44,"Drift Ventures","Real Estate","large","AU","Australia/Sydney",65,"expired",6,82.50,"2025-03-27","2025-10-06","annual","Too expensive","Enterprise","enterprise",99.00
44,"Drift Ventures","Real Estate","large","AU","Australia/Sydney",66,"active",1,0.00,"2025-10-06",NULL,"monthly",NULL,"Free","free",0.00
45,"JadeLabs","E-commerce","small","GB","Europe/London",67,"active",1,0.00,"2024-05-17",NULL,"monthly",NULL,"Free","free",0.00
46,"SagePlatform","Real Estate","small","CA","America/Toronto",68,"active",1,0.00,"2024-12-20",NULL,"annual",NULL,"Free","free",0.00
47,"UltraSystems","Insurance","large","US","America/Los_Angeles",69,"expired",4,32.50,"2024-06-21","2025-02-18","annual","Budget cuts","Professional","professional",39.00
47,"UltraSystems","Insurance","large","US","America/Los_Angeles",70,"active",3,19.00,"2025-02-18",NULL,"monthly",NULL,"Starter Plus","starter",19.00
48,"SyncPlatform","Education","small","FR","Europe/Paris",71,"expired",3,19.00,"2025-08-24","2025-10-28","monthly",NULL,"Starter Plus","starter",19.00
48,"SyncPlatform","Education","small","FR","Europe/Paris",72,"cancelled",2,12.00,"2025-10-28","2025-12-28","monthly","Missing features","Starter","starter",12.00
48,"SyncPlatform","Education","small","FR","Europe/Paris",73,"cancelled",6,70.12,"2025-12-28","2025-10-29","annual","Missing features","Enterprise","enterprise",99.00
49,"EchoIO","Finance","small","DE","Europe/Berlin",74,"active",1,0.00,"2024-10-06",NULL,"monthly",NULL,"Free","free",0.00
50,"Warp Corp","Real Estate","medium","BR","America/Sao_Paulo",75,"expired",1,0.00,"2024-08-25","2024-11-07","monthly","Not using it","Free","free",0.00
50,"Warp Corp","Real Estate","medium","BR","America/Sao_Paulo",76,"expired",2,12.00,"2024-11-07","2025-04-03","monthly","Budget cuts","Starter","starter",12.00
50,"Warp Corp","Real Estate","medium","BR","America/Sao_Paulo",77,"active",1,0.00,"2025-04-03",NULL,"annual",NULL,"Free","free",0.00
51,"WarpSoftware","Education","large","US","America/Chicago",78,"active",3,15.83,"2024-12-06",NULL,"annual",NULL,"Starter Plus","starter",19.00
52,"Orbit Analytics","Insurance","enterprise","SG","Asia/Singapore",79,"cancelled",1,0.00,"2024-10-25","2025-03-07","annual","Missing features","Free","free",0.00
53,"MistPro","Telecommunications","small","CA","America/Toronto",80,"expired",3,15.83,"2024-05-20","2024-12-20","annual",NULL,"Starter Plus","starter",19.00
53,"MistPro","Telecommunications","small","CA","America/Toronto",81,"active",1,0.00,"2024-12-20",NULL,"annual",NULL,"Free","free",0.00
54,"Orbit Ops","Retail","enterprise","BR","America/Sao_Paulo",82,"active",1,0.00,"2025-02-20",NULL,"monthly",NULL,"Free","free",0.00
55,"LunaVentures","Retail","medium","US","America/Chicago",83,"cancelled",2,10.80,"2023-12-04","2024-05-31","monthly","Too expensive","Starter","starter",12.00
55,"LunaVentures","Retail","medium","US","America/Chicago",84,"active",4,31.20,"2024-05-31",NULL,"monthly",NULL,"Professional","professional",39.00
56,"Flow Works","Education","small","US","America/Chicago",85,"expired",2,10.00,"2024-07-09","2025-03-08","annual","Switched competitor","Starter","starter",12.00
56,"Flow Works","Education","small","US","America/Chicago",86,"active",5,59.00,"2025-03-08",NULL,"monthly",NULL,"Professional Plus","professional",59.00
57,"OnyxHQ","E-commerce","small","JP","Asia/Tokyo",87,"active",4,32.50,"2024-10-07",NULL,"annual",NULL,"Professional","professional",39.00
58,"Hub HQ","Healthcare","large","US","America/Los_Angeles",88,"active",3,19.00,"2025-09-30",NULL,"monthly",NULL,"Starter Plus","starter",19.00
59,"MistDev","Finance","enterprise","US","America/Chicago",89,"active",2,12.00,"2023-01-03",NULL,"monthly",NULL,"Starter","starter",12.00
60,"JetHQ","Marketing","small","JP","Asia/Tokyo",90,"cancelled",1,0.00,"2023-09-02","2024-08-08","annual","Switched competitor","Free","free",0.00
60,"JetHQ","Marketing","small","JP","Asia/Tokyo",91,"active",5,59.00,"2024-08-08",NULL,"monthly",NULL,"Professional Plus","professional",59.00
61,"UltraPro","Telecommunications","enterprise","AU","Australia/Sydney",92,"cancelled",1,0.00,"2023-02-07","2025-09-10","monthly","Switched competitor","Free","free",0.00
62,"GridDev","Technology","large","US","America/Los_Angeles",93,"cancelled",3,19.00,"2024-12-10","2025-08-24","monthly","Company reorganization","Starter Plus","starter",19.00
62,"GridDev","Technology","large","US","America/Los_Angeles",94,"active",3,16.15,"2025-08-24",NULL,"monthly",NULL,"Starter Plus","starter",19.00
63,"UltraStack","Insurance","medium","JP","Asia/Tokyo",95,"cancelled",1,0.00,"2025-02-03","2025-06-29","annual",NULL,"Free","free",0.00
63,"UltraStack","Insurance","medium","JP","Asia/Tokyo",96,"cancelled",4,39.00,"2025-06-29","2025-04-12","monthly","Switched competitor","Professional","professional",39.00
64,"CoreSolutions","Telecommunications","small","US","America/New_York",97,"active",2,10.00,"2024-06-27",NULL,"annual",NULL,"Starter","starter",12.00
65,"Yield Group","Logistics","small","CA","America/Toronto",98,"active",1,0.00,"2023-01-10",NULL,"annual",NULL,"Free","free",0.00
66,"EdgeHQ","Real Estate","small","SG","Asia/Singapore",99,"active",1,0.00,"2025-05-23",NULL,"monthly",NULL,"Free","free",0.00
67,"Quest Logic","Education","small","BR","America/Sao_Paulo",100,"active",1,0.00,"2025-05-02",NULL,"monthly",NULL,"Free","free",0.00
68,"Quark Ops","Insurance","large","SG","Asia/Singapore",101,"cancelled",6,82.50,"2024-03-27","2025-02-03","annual","Budget cuts","Enterprise","enterprise",99.00
69,"Ion Dynamics","Telecommunications","small","JP","Asia/Tokyo",102,"active",1,0.00,"2023-10-30",NULL,"annual",NULL,"Free","free",0.00
70,"JetHub","Retail","large","FR","Europe/Paris",103,"expired",1,0.00,"2024-02-09","2024-12-20","monthly","Switched competitor","Free","free",0.00
70,"JetHub","Retail","large","FR","Europe/Paris",104,"cancelled",4,39.00,"2024-12-20","2025-04-30","monthly","Company reorganization","Professional","professional",39.00
71,"LinkLogic","Marketing","small","SG","Asia/Singapore",105,"cancelled",5,59.00,"2024-09-16","2025-08-02","monthly","Budget cuts","Professional Plus","professional",59.00
71,"LinkLogic","Marketing","small","SG","Asia/Singapore",106,"active",7,199.00,"2025-08-02",NULL,"monthly",NULL,"Enterprise Custom","enterprise",199.00
72,"Cloud AI","Education","medium","US","America/Chicago",107,"expired",1,0.00,"2025-08-30","2025-10-30","monthly",NULL,"Free","free",0.00
72,"Cloud AI","Education","medium","US","America/Chicago",108,"active",2,12.00,"2025-10-30",NULL,"monthly",NULL,"Starter","starter",12.00
73,"LinkPro","Telecommunications","medium","SG","Asia/Singapore",109,"active",2,9.60,"2024-01-15",NULL,"monthly",NULL,"Starter","starter",12.00
74,"GridOps","Telecommunications","large","IN","Asia/Kolkata",110,"active",3,15.83,"2023-08-06",NULL,"annual",NULL,"Starter Plus","starter",19.00
75,"NovaTech","Media","small","BR","America/Sao_Paulo",111,"cancelled",1,0.00,"2024-09-02","2025-01-22","monthly","Missing features","Free","free",0.00
76,"Wave Platform","Real Estate","small","US","America/New_York",112,"expired",3,15.83,"2023-03-07","2023-10-21","annual","Switched competitor","Starter Plus","starter",19.00
76,"Wave Platform","Real Estate","small","US","America/New_York",113,"active",2,10.00,"2023-10-21",NULL,"annual",NULL,"Starter","starter",12.00
77,"Nexus AI","Legal","enterprise","SG","Asia/Singapore",114,"cancelled",4,39.00,"2025-05-17","2025-08-02","monthly","Too expensive","Professional","professional",39.00
77,"Nexus AI","Legal","enterprise","SG","Asia/Singapore",115,"active",4,39.00,"2025-08-02",NULL,"monthly",NULL,"Professional","professional",39.00
78,"Rush Group","Logistics","medium","JP","Asia/Tokyo",116,"active",5,59.00,"2024-09-11",NULL,"monthly",NULL,"Professional Plus","professional",59.00
79,"PeakStack","Media","large","GB","Europe/London",117,"cancelled",4,32.50,"2025-01-17","2025-07-31","annual","Company reorganization","Professional","professional",39.00
80,"JetOps","Healthcare","small","US","America/Chicago",118,"active",5,59.00,"2024-08-23",NULL,"monthly",NULL,"Professional Plus","professional",59.00
81,"WaveOps","Manufacturing","enterprise","FR","Europe/Paris",119,"expired",4,27.62,"2023-06-08","2023-12-15","annual","Budget cuts","Professional","professional",39.00
81,"WaveOps","Manufacturing","enterprise","FR","Europe/Paris",120,"active",5,47.20,"2023-12-15",NULL,"monthly",NULL,"Professional Plus","professional",59.00
82,"Orbit Corp","Retail","medium","BR","America/Sao_Paulo",121,"active",4,39.00,"2023-10-07",NULL,"monthly",NULL,"Professional","professional",39.00
83,"LunaDigital","Manufacturing","small","US","America/Los_Angeles",122,"active",1,0.00,"2024-03-05",NULL,"monthly",NULL,"Free","free",0.00
84,"ZealVentures","Telecommunications","small","US","America/Los_Angeles",123,"active",1,0.00,"2024-03-10",NULL,"monthly",NULL,"Free","free",0.00
85,"Rift Ops","Real Estate","medium","JP","Asia/Tokyo",124,"active",1,0.00,"2023-07-29",NULL,"monthly",NULL,"Free","free",0.00
86,"Flux Pro","Manufacturing","small","US","America/Los_Angeles",125,"active",4,35.10,"2025-06-01",NULL,"monthly",NULL,"Professional","professional",39.00
87,"UltraVentures","Manufacturing","large","SG","Asia/Singapore",126,"cancelled",4,39.00,"2024-09-24","2025-08-02","monthly","Missing features","Professional","professional",39.00
87,"UltraVentures","Manufacturing","large","SG","Asia/Singapore",127,"active",2,12.00,"2025-08-02",NULL,"monthly",NULL,"Starter","starter",12.00
88,"FlowCorp","E-commerce","medium","BR","America/Sao_Paulo",128,"cancelled",1,0.00,"2025-03-08","2025-10-22","annual","Not using it","Free","free",0.00
89,"WavePro","Logistics","enterprise","US","America/Los_Angeles",129,"active",6,61.88,"2025-02-16",NULL,"annual",NULL,"Enterprise","enterprise",99.00
90,"DriftHub","Real Estate","medium","SG","Asia/Singapore",130,"active",3,19.00,"2023-03-11",NULL,"monthly",NULL,"Starter Plus","starter",19.00
91,"LinkAI","Healthcare","small","CA","America/Toronto",131,"expired",4,39.00,"2025-09-27","2025-11-27","monthly","Budget cuts","Professional","professional",39.00
91,"LinkAI","Healthcare","small","CA","America/Toronto",132,"active",3,19.00,"2025-11-27",NULL,"monthly",NULL,"Starter Plus","starter",19.00
92,"DriftVentures","Insurance","large","US","America/New_York",133,"cancelled",5,49.17,"2023-06-04","2023-09-26","annual","Too expensive","Professional Plus","professional",59.00
92,"DriftVentures","Insurance","large","US","America/New_York",134,"active",1,0.00,"2023-09-26",NULL,"annual",NULL,"Free","free",0.00
93,"TrekTech","Finance","small","GB","Europe/London",135,"active",4,39.00,"2024-01-17",NULL,"monthly",NULL,"Professional","professional",39.00
94,"OnyxStack","Marketing","small","JP","Asia/Tokyo",136,"cancelled",1,0.00,"2023-12-08","2025-06-05","monthly",NULL,"Free","free",0.00
95,"PeakNet","Finance","medium","FR","Europe/Paris",137,"expired",4,32.50,"2024-11-17","2025-06-29","annual","Company reorganization","Professional","professional",39.00
95,"PeakNet","Finance","medium","FR","Europe/Paris",138,"cancelled",3,19.00,"2025-06-29","2025-10-20","monthly","Switched competitor","Starter Plus","starter",19.00
95,"PeakNet","Finance","medium","FR","Europe/Paris",139,"active",5,49.17,"2025-10-20",NULL,"annual",NULL,"Professional Plus","professional",59.00
96,"PeakOps","Marketing","small","IN","Asia/Kolkata",140,"expired",2,12.00,"2023-05-21","2024-05-12","monthly","Too expensive","Starter","starter",12.00
96,"PeakOps","Marketing","small","IN","Asia/Kolkata",141,"cancelled",6,99.00,"2024-05-12","2024-09-21","monthly","Switched competitor","Enterprise","enterprise",99.00
97,"QuestWorks","Real Estate","small","BR","America/Sao_Paulo",142,"active",2,10.80,"2023-06-19",NULL,"monthly",NULL,"Starter","starter",12.00
98,"Vine HQ","E-commerce","medium","GB","Europe/London",143,"expired",2,10.00,"2025-08-27","2025-10-30","annual","Company reorganization","Starter","starter",12.00
98,"Vine HQ","E-commerce","medium","GB","Europe/London",144,"active",3,15.83,"2025-10-30",NULL,"annual",NULL,"Starter Plus","starter",19.00
99,"GlowDev","Finance","enterprise","GB","Europe/London",145,"expired",1,0.00,"2024-07-21","2025-03-17","monthly","Budget cuts","Free","free",0.00
99,"GlowDev","Finance","enterprise","GB","Europe/London",146,"active",3,19.00,"2025-03-17",NULL,"monthly",NULL,"Starter Plus","starter",19.00
100,"SyncTech","Education","medium","JP","Asia/Tokyo",147,"active",2,12.00,"2025-06-24",NULL,"monthly",NULL,"Starter","starter",12.00
101,"PulseLogic","Marketing","small","US","America/New_York",148,"active",1,0.00,"2023-10-21",NULL,"annual",NULL,"Free","free",0.00
102,"Flow Labs","Education","small","US","America/Los_Angeles",149,"cancelled",2,10.00,"2023-05-05","2025-03-17","annual","Too expensive","Starter","starter",12.00
103,"EdgeSystems","Consulting","medium","JP","Asia/Tokyo",150,"active",2,10.80,"2023-01-02",NULL,"monthly",NULL,"Starter","starter",12.00
104,"Hive Dynamics","Media","enterprise","JP","Asia/Tokyo",151,"expired",2,10.80,"2023-09-17","2024-06-28","monthly","Budget cuts","Starter","starter",12.00
104,"Hive Dynamics","Media","enterprise","JP","Asia/Tokyo",152,"active",4,39.00,"2024-06-28",NULL,"monthly",NULL,"Professional","professional",39.00
105,"UnitOps","Insurance","medium","FR","Europe/Paris",153,"cancelled",1,0.00,"2023-06-29","2024-04-02","annual","Budget cuts","Free","free",0.00
105,"UnitOps","Insurance","medium","FR","Europe/Paris",154,"cancelled",5,59.00,"2024-04-02","2025-02-10","monthly","Switched competitor","Professional Plus","professional",59.00
105,"UnitOps","Insurance","medium","FR","Europe/Paris",155,"active",3,19.00,"2025-02-10",NULL,"monthly",NULL,"Starter Plus","starter",19.00
106,"OnyxSolutions","Healthcare","large","CA","America/Toronto",156,"expired",2,10.00,"2023-11-14","2024-08-30","annual","Missing features","Starter","starter",12.00
106,"OnyxSolutions","Healthcare","large","CA","America/Toronto",157,"expired",3,19.00,"2024-08-30","2024-11-30","monthly","Not using it","Starter Plus","starter",19.00
106,"OnyxSolutions","Healthcare","large","CA","America/Toronto",158,"active",1,0.00,"2024-11-30",NULL,"annual",NULL,"Free","free",0.00
107,"QuarkAI","E-commerce","small","IN","Asia/Kolkata",159,"cancelled",1,0.00,"2024-01-12","2024-08-20","annual","Too expensive","Free","free",0.00
107,"QuarkAI","E-commerce","small","IN","Asia/Kolkata",160,"active",3,19.00,"2024-08-20",NULL,"monthly",NULL,"Starter Plus","starter",19.00
108,"VertexSolutions","Consulting","small","JP","Asia/Tokyo",161,"cancelled",2,12.00,"2025-04-22","2025-07-18","monthly","Missing features","Starter","starter",12.00
109,"TidalHQ","Manufacturing","small","FR","Europe/Paris",162,"active",3,15.83,"2024-03-21",NULL,"annual",NULL,"Starter Plus","starter",19.00
110,"EdgeOps","Marketing","medium","FR","Europe/Paris",163,"cancelled",2,10.00,"2024-03-24","2024-06-14","annual","Not using it","Starter","starter",12.00
111,"XenonLogic","Technology","medium","US","America/Los_Angeles",164,"active",5,49.17,"2024-06-26",NULL,"annual",NULL,"Professional Plus","professional",59.00
112,"Hive Logic","Telecommunications","medium","US","America/Chicago",165,"active",6,99.00,"2025-07-27",NULL,"monthly",NULL,"Enterprise","enterprise",99.00
113,"CoreTech","Retail","small","SG","Asia/Singapore",166,"cancelled",2,12.00,"2024-12-29","2025-04-09","monthly","Budget cuts","Starter","starter",12.00
113,"CoreTech","Retail","small","SG","Asia/Singapore",167,"active",4,39.00,"2025-04-09",NULL,"monthly",NULL,"Professional","professional",39.00
114,"Meta Digital","E-commerce","enterprise","CA","America/Toronto",168,"cancelled",6,99.00,"2025-06-24","2025-09-22","monthly","Not using it","Enterprise","enterprise",99.00
115,"HiveCorp","Retail","medium","US","America/Chicago",169,"cancelled",3,19.00,"2025-06-18","2025-10-24","monthly","Not using it","Starter Plus","starter",19.00
115,"HiveCorp","Retail","medium","US","America/Chicago",170,"cancelled",4,39.00,"2025-10-24","2025-12-23","monthly","Missing features","Professional","professional",39.00
115,"HiveCorp","Retail","medium","US","America/Chicago",171,"active",3,15.83,"2025-12-23",NULL,"annual",NULL,"Starter Plus","starter",19.00
116,"BeamDev","Technology","enterprise","US","America/Chicago",172,"expired",1,0.00,"2025-08-21","2025-10-22","monthly","Not using it","Free","free",0.00
116,"BeamDev","Technology","enterprise","US","America/Chicago",173,"expired",2,12.00,"2025-10-22","2025-12-21","monthly","Budget cuts","Starter","starter",12.00
116,"BeamDev","Technology","enterprise","US","America/Chicago",174,"active",3,15.83,"2025-12-21",NULL,"annual",NULL,"Starter Plus","starter",19.00
117,"Onyx Cloud","Real Estate","medium","US","America/Chicago",175,"expired",3,19.00,"2024-10-01","2024-12-17","monthly","Too expensive","Starter Plus","starter",19.00
117,"Onyx Cloud","Real Estate","medium","US","America/Chicago",176,"active",1,0.00,"2024-12-17",NULL,"monthly",NULL,"Free","free",0.00
118,"Peak Hub","Real Estate","small","SG","Asia/Singapore",177,"active",2,12.00,"2024-10-04",NULL,"monthly",NULL,"Starter","starter",12.00
119,"EchoPlatform","Logistics","medium","DE","Europe/Berlin",178,"cancelled",2,9.60,"2023-07-28","2024-05-03","monthly","Too expensive","Starter","starter",12.00
119,"EchoPlatform","Logistics","medium","DE","Europe/Berlin",179,"active",4,39.00,"2024-05-03",NULL,"monthly",NULL,"Professional","professional",39.00
120,"UnitStudio","Finance","enterprise","IN","Asia/Kolkata",180,"cancelled",1,0.00,"2023-09-11","2023-11-19","monthly","Not using it","Free","free",0.00
121,"KeenPro","Insurance","small","CA","America/Toronto",181,"active",5,49.17,"2024-02-07",NULL,"annual",NULL,"Professional Plus","professional",59.00
122,"Sync IO","Real Estate","enterprise","SG","Asia/Singapore",182,"cancelled",1,0.00,"2023-09-28","2024-02-20","monthly","Too expensive","Free","free",0.00
122,"Sync IO","Real Estate","enterprise","SG","Asia/Singapore",183,"active",2,10.00,"2024-02-20",NULL,"annual",NULL,"Starter","starter",12.00
